Report ID,Year,Country,Lookup,Region,Sector,Mining,Gas,Oil,Commodity,Total extractive government receipts (US$),"Total Government Revenue, IMF data.","Total Government Revenue, excluding grants, WB data.",Total GDP (US$ nominal),Total Production Value (US$),Health expenditure (US$),Public spending on education (% of GDP) ,ODA (US$)
BurkinaFaso2009,2009,Burkina Faso,2009_Burkina Faso,Africa,Mining,yes,no,no,Gold,22698094.71,1508678823,1141692059,8348156389,349197844.3,..,..,1082820000
BurkinaFaso2010,2010,Burkina Faso,2010_Burkina Faso,Africa,Mining,yes,no,no,Total,47170416,1587128760,1375551803,9209288383,830328590,353716794.7,0.0384087,1062340000
BurkinaFaso2010,2010,Burkina Faso,2010_Burkina Faso,Africa,Mining,yes,no,no,Gold,47170416,1587128760,1375551803,9209288383,830079878,353716794.7,0.0384087,1062340000
BurkinaFaso2010,2010,Burkina Faso,2010_Burkina Faso,Africa,Mining,yes,no,no,Manganese,47170416,1587128760,1375551803,9209288383,248712,353716794.7,0.0384087,1062340000
BurkinaFaso2010,2010,Burkina Faso,2010_Burkina Faso,Africa,Mining,yes,no,no,o/w Manganese ore (processed),47170416,1587128760,1375551803,9209288383,,353716794.7,0.0384087,1062340000
BurkinaFaso2010,2010,Burkina Faso,2010_Burkina Faso,Africa,Mining,yes,no,no,o/w Manganese content,47170416,1587128760,1375551803,9209288383,,353716794.7,0.0384087,1062340000
BurkinaFaso2010,2010,Burkina Faso,2010_Burkina Faso,Africa,Mining,yes,no,no,Zinc,47170416,1587128760,1375551803,9209288383,,353716794.7,0.0384087,1062340000
BurkinaFaso2011,2011,Burkina Faso,2011_Burkina Faso,Africa,Mining,yes,no,no,Total,236414921.9,4236375131,1681866531,10395757480,1574992827,356263648.4,0.0342701,995120000
BurkinaFaso2011,2011,Burkina Faso,2011_Burkina Faso,Africa,Mining,yes,no,no,Gold,236414921.9,4236375131,1681866531,10395757480,1574601073,356263648.4,0.0342701,995120000
BurkinaFaso2011,2011,Burkina Faso,2011_Burkina Faso,Africa,Mining,yes,no,no,Manganese,236414921.9,4236375131,1681866531,10395757480,391754.2,356263648.4,0.0342701,995120000
BurkinaFaso2011,2011,Burkina Faso,2011_Burkina Faso,Africa,Mining,yes,no,no,o/w Manganese ore (processed),236414921.9,4236375131,1681866531,10395757480,,356263648.4,0.0342701,995120000
BurkinaFaso2011,2011,Burkina Faso,2011_Burkina Faso,Africa,Mining,yes,no,no,o/w Manganese content,236414921.9,4236375131,1681866531,10395757480,,356263648.4,0.0342701,995120000
BurkinaFaso2011,2011,Burkina Faso,2011_Burkina Faso,Africa,Mining,yes,no,no,Zinc,236414921.9,4236375131,1681866531,10395757480,,356263648.4,0.0342701,995120000
BurkinaFaso2012,2012,Burkina Faso,2012_Burkina Faso,Africa,Mining,Gold,,,Gold,366304044.3,2156094658,1956436998,10726305450,1591231109,..,..,1158540000
Cameroon2001,2001,Cameroon,2001_Cameroon,Africa,"Oil, Gas",no,yes,yes,Total,731900794.9,..,..,9633109257,1128787166,251419335,0.0260995,457760000
Cameroon2001,2001,Cameroon,2001_Cameroon,Africa,Gas,no,yes,no,Gas,731900794.9,..,..,9633109257,230335788.8,251419335,0.0260995,457760000
Cameroon2001,2001,Cameroon,2001_Cameroon,Africa,Oil,no,no,yes,Oil,731900794.9,..,..,9633109257,898451376.7,251419335,0.0260995,457760000
Cameroon2002,2002,Cameroon,2002_Cameroon,Africa,"Oil, Gas",no,yes,yes,Total,338323283.6,0,..,10879778328,606431056.1,..,..,605850000
Cameroon2002,2002,Cameroon,2002_Cameroon,Africa,Gas,no,yes,no,Gas,338323283.6,0,..,10879778328,158844250.6,..,..,605850000
Cameroon2002,2002,Cameroon,2002_Cameroon,Africa,Oil,no,no,yes,Oil,338323283.6,0,..,10879778328,447586805.5,..,..,605850000
Cameroon2003,2003,Cameroon,2003_Cameroon,Africa,"Oil, Gas",no,yes,yes,Total,753768010,..,..,13621738512,1211753205,449762562.2,0.033018,885980000
Cameroon2003,2003,Cameroon,2003_Cameroon,Africa,Gas,no,yes,no,Gas,753768010,..,..,13621738512,246281205.4,449762562.2,0.033018,885980000
Cameroon2003,2003,Cameroon,2003_Cameroon,Africa,Oil,no,no,yes,Oil,753768010,..,..,13621738512,965472000,449762562.2,0.033018,885980000
Cameroon2004,2004,Cameroon,2004_Cameroon,Africa,"Oil, Gas",no,yes,yes,Total,954798250,..,..,15775356737,1525801114,525305181.5,0.0332991,790660000
Cameroon2004,2004,Cameroon,2004_Cameroon,Africa,Gas,no,yes,no,Gas,954798250,..,..,15775356737,310147114.4,525305181.5,0.0332991,790660000
Cameroon2004,2004,Cameroon,2004_Cameroon,Africa,Oil,no,no,yes,Oil,954798250,..,..,15775356737,1215654000,525305181.5,0.0332991,790660000
Cameroon2005,2005,Cameroon,2005_Cameroon,Africa,"Oil, Gas",no,yes,yes,Total,1188024923,3034582653,..,16587857509,2027648359,518075283.3,0.0312322,413930000
Cameroon2005,2005,Cameroon,2005_Cameroon,Africa,Gas,no,yes,no,Gas,1188024923,3034582653,..,16587857509,512969309.2,518075283.3,0.0312322,413930000
