,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
1121,Sierra Leone,SLE,X2005,860.246,767.853,0.21337262,0.245820915
1122,Sudan,SDN,X2005,16.927,15.331,0.491759937,0.336500741
1123,Suriname,SUR,X2005,1.331,1.271,0.181011535,0.185634328
1124,Syrian Arab Republic,SYR,X2005,424.456,358.047,0.06941729,0.041067332
1125,Tanzania,TZA,X2005,3550.653,2915.485,0.229335979,0.177818598
1126,Timor Leste,TLS,X2005,0.094,0.214,0.342857143,0.202247191
1127,Trinidad and Tobago ,TTO,X2005,26.56,30.436,0.267961999,0.35990349
1128,Turkmenistan,TKM,X2005,3.513,3.657,0.260043042,0.222668004
1129,United Arab Emirates,ARE,X2005,104.431,238.715,0.086340515,0.662765994
1130,Uzbekistan,UZB,X2005,4701.039,4900.016,0.214443465,0.242181192
1131,Venezuela,VEN,X2005,101.961,114.413,0.502143583,0.564493853
1132,Vietnam,VNM,X2005,239364,228288.32,0.244270246,0.195921818
1133,Yemen,YEM,X2005,1179.739,1121.288,0.347130776,0.366484516
1134,Zambia,ZMB,X2005,8.35,7.467,0.206821795,0.20962255
1297,Algeria,DZA,X2006,2454.387,3639.91,0.196073463,0.180763843
1298,Angola,AGO,X2006,1288.353,1685.031,0.507224624,0.551816836
1299,Azerbaijan,AZE,X2006,5.037,5.253,0.774216273,0.671333121
1300,Bahrain,BHR,X2006,1.678,1.841,0.120908484,0.101735488
1301,Bolivia,BOL,X2006,27.372,31.473,0.07097582,0.320785597
1302,Botswana,BWA,X2006,19.737,27.657,0.119385209,0.202060153
1303,Brunei Darussalam,BRN,X2006,5.613,9.644,0.099079695,0.210949272
1304,Cameroon,CMR,X2006,1365.968,4448.106,0.068585054,1.797677631
1305,Chad,TCD,X2006,542.28,628.676,0.339141515,0.561784383
1306,Chile,CHL,X2006,15348.976,21459.883,0.101848142,0.258064864
1307,Colombia,COL,X2006,108552.222,104744.622,0.240999077,0.198110153
1308,"Congo, Republic of",COG,X2006,1123.053,1796,0.447677252,0.441759653
1309,Dem. Rep. of Congo,COD,X2006,664.7,789,NA,0.29997265
1310,Ecuador,ECU,X2006,9.928,11.263,0.118018018,0.231467308
1311,Equatorial Guinea,GNQ,X2006,954.248,2103.73,0.565400837,0.491807127
1312,Gabon,GAB,X2006,1122.143,1582.572,0.08299072,0.103484342
1313,Ghana,GHA,X2006,4.072,3.192,0.321648815,0.212305355
1314,Guinea,GIN,X2006,2871.41,2397.75,0.588274664,0.469677839
1315,Guyana,GUY,X2006,110.215,86.793,0.1352657,0.161778682
1316,Indonesia,IDN,X2006,671708.925,685237.413,0.276735784,0.271562516
1317,Iran,IRN,X2006,564866.156,611469.02,0.255023859,0.212317501
1318,Iraq,IRQ,X2006,48108.374,58346.614,0.035097845,0.179458721
1319,Kazakhstan,KAZ,X2006,2022.2,2803.917,0.20377431,0.315328345
1320,Kuwait,KWT,X2006,9.405,18.804,0.417483044,0.115831949
1321,Libya,LBY,X2006,22.493,45.457,0.250027787,0.215005479
1322,Malaysia,MYS,X2006,159.865,143.601,0.144254926,0.162027222
1323,Mali,MLI,X2006,796.302,1798.667,0.117372196,1.893585155
1324,Mauritania,MRT,X2006,199.986,221.564,0.202923308,0.564452353
1325,Mexico,MEX,X2006,2408.422,2305.82,0.175547622,0.193099559
1326,Mongolia,MNG,X2006,1054.924,1360.41,0.37971245,0.623676088
1327,Myanmar,MMR,X2006,3187.294,2484.9,0.543761879,0.488375826
1328,Namibia,NAM,X2006,14.285,15.938,0.106849527,0.259622224
1329,Nigeria,NGA,X2006,3548.71,6040.813,-0.166127978,0.129411028
1330,Norway,NOR,X2006,871.42,1270.904,0.068541292,0.143790038
1331,Oman,OMN,X2006,4.92,6.922,0.176751973,0.211834734
1332,Papua New Guinea,PNG,X2006,5.184,6.288,0.05839118,0.184850198
1333,Peru,PER,X2006,54.864,60.673,0.100427222,0.24352852
1334,Qatar,QAT,X2006,67.147,87.363,0.322624488,0.311323587
1335,Russia,RUS,X2006,8375.228,10625.812,0.227923166,0.238492025
1336,Saudi Arabia,SAU,X2006,413.734,757.73,0.102150308,0.187938287
1337,Sierra Leone,SLE,X2006,928.861,842.194,0.079762068,0.096816708
1338,Sudan,SDN,X2006,18.502,17.451,0.093046612,0.138281912
1339,Suriname,SUR,X2006,1.444,1.52,0.084898573,0.195908733
1340,Syrian Arab Republic,SYR,X2006,454.638,435.294,0.071107488,0.215745419
1341,Tanzania,TZA,X2006,4164.081,3364.107,0.172764841,0.153875599
1342,Timor Leste,TLS,X2006,0.115,0.678,0.223404255,2.168224299
1343,Trinidad and Tobago ,TTO,X2006,36.033,42.888,0.356664157,0.409120778
1344,Turkmenistan,TKM,X2006,3.326,4.495,-0.053230857,0.229149576
1345,United Arab Emirates,ARE,X2006,127.475,333.814,0.220662447,0.39837882
1346,Uzbekistan,UZB,X2006,6025.154,7139.908,0.28166433,0.457119324
1347,Venezuela,VEN,X2006,154.681,148.36,0.517060445,0.296705794
1348,Vietnam,VNM,X2006,276774,279472,0.156289166,0.224206302
1349,Yemen,YEM,X2006,1405.078,1449.679,0.191007503,0.29286945
1350,Zambia,ZMB,X2006,9.051,16.825,0.083952096,1.253247623
1513,Algeria,DZA,X2007,3114.242,3687.85,0.26884717,0.013170655
1514,Angola,AGO,X2007,1908.842,2124.712,0.481614123,0.260933478
1515,Azerbaijan,AZE,X2007,7.356,8.007,0.460393091,0.524271845
1516,Bahrain,BHR,X2007,1.908,2.038,0.137067938,0.107007061
1517,Bolivia,BOL,X2007,33.635,35.428,0.228810463,0.125663267
1518,Botswana,BWA,X2007,24.822,28.645,0.257637939,0.035723325
1519,Brunei Darussalam,BRN,X2007,5.998,6.632,0.068590771,-0.31231854
1520,Cameroon,CMR,X2007,1528.323,1985.483,0.118857104,-0.553634064
1521,Chad,TCD,X2007,709.295,814.26,0.307986649,0.295198162
1522,Chile,CHL,X2007,17509.243,24677.878,0.140743396,0.149953986
